Id,Category
pOF3KfLc97w,1
vusj8ki0w_I,1
qjKPHjVW5zY,1
cUAr7cWHSRY,1
8lNeEnCJI9w,1
LbuHmxNWMko,1
KO5-6OhtbCU,1
WvzFghyMDnY,1
d-xpMBCqdQk,1
B5pOA9BChQA,1
jQyksvgdEAI,1
ezpGhF39QSU,1
MqVMak3Yg3A,1
ToDVECh3Q1o,1
e1-tJPX2NAo,1
s10irePwPoU,1
Gs7XPJ-Q3iA,1
T5-g1OetDqE,1
Lmpfn5goqwM,1
0Ro9gkDEyOw,1
rA98lrrOlTA,1
T2qEHM9gEVc,1
c_lzAVmoe1k,1
1qgCwsL4bJI,1
-SMljwKkK2o,1
hD3kBrXWYI0,1
3gERdvy08C0,1
BG2gX0if4ZI,1
v6fOoMa_TTs,1
3rLUC1SCmRA,1
qVXggaCHaWs,1
wnzpjuSJ5oo,1
djMZ9IvvRlk,1
oHsB2PWu4sk,1
LTOi-xFTpFQ,1
GC4IJimKSG0,1
ZQE4kkJdCjc,1
bYeQkkT9UJM,1
jaLVAeoV-Pk,1
pfGVOnZxAZI,1
7SnR4wD7cJA,1
VjLGsepdPdE,1
ZaLhaq61ows,1
kMy_gX06EOA,1
K2M9ipHXzFM,1
_nuJDs07A6A,1
4EcrWMuI9VY,1
ces4svMRNtk,1
LAVOEsBfxso,1
zT2ionNN2LU,1
hvFuWMQmyVk,1
BWyL1HYkh5U,1
UpNtm73FEgw,1
yum2OwwJL78,1
TF3xyM5NeT8,1
DT7hQM4XAPQ,1
UPINTns7hpc,1
5HddBm-SnPM,1
7JkHfRSFprk,1
VTuEkE7YwiM,1
vBwo8aUY23I,1
Su8m4FkRXa8,1
u1e9TF-GOwc,1
M3uSgUTt_Ck,1
fjHaXj6WnJI,1
5TV73ozA3IU,1
lMlmAXhUCn4,1
7fKYZukNjTA,1
6JldyT20gCU,1
pU63e2KyuQA,1
Q1nRMhejZME,1
zRt1XDOycmA,1
aA2LKU_kFcw,1
asmbBJ2Yiuc,1
hT-ShAYuPM8,1
GHe2fnDXZUQ,1
GRmzyhfLDqM,1
DTjfnQ7mc8A,1
yIoOUjyc8Mg,1
4oM2BQ17dgo,1
c740aEi3EcI,1
8b4DVYHiJzg,1
B6NHswsygS8,1
qmqCsAq5cOc,1
bY8kXFacdyk,1
Twxz-ZJiPZQ,1
sv9jQK448Vc,1
1ZKnYv2QvvY,1
MZ8C4qPtiSw,1
2hq8tkh-FiY,1
FABk9Ew4SxA,1
4Qjra1bxoDU,1
z1oB-ZOS8aM,1
T6QigQg3atU,1
orvOWZZGi0o,1
ep0h5Gdqo-A,1
cbwl-MZT1Ic,1
h4WQdkSdy_U,1
SQD7uHpTYKg,1
Xxj1WuFWTr8,1
CRJLjasbP3I,1
HNpg4hjTjlU,1
_XuTQD__U8w,1
RbXh_NIUJNs,1
O1bM5LZlcuA,1
wUFHJ4oJJ8E,1
m5-G4HsxMn0,1
URoy5DVRK3E,1
lTsxXAH4DhI,1
fMgBWXm2jKI,1
3BhYLTR0KHw,1
va1T4sDvPUE,1
OGROdEdqUkQ,1
zsdEty2TFKQ,1
NgnovK0i_yI,1
jLOcB-pOwTs,1
iJ0xCPWxGfA,1
4blOYqBYOpQ,1
yHbdryWf4E4,1
56OxT8C8ah8,1
NCv2EDadgHo,1
avk3JUEva-I,1
BLSWCL7uKHQ,1
HqFgnYFdHM8,1
kxYnPhyB4o0,1
Hbp51y0omf0,1
OOn5EbbZjtc,1
UbE74urHVco,1
Q9dEKEI22nA,1
yTiEY2dKx9M,1
FeFcsGyG17g,1
D54Znjdlvt8,1
RFkniYjps0c,1
aDwXs3eEceg,1
g0y__ur-Ob4,1
FCcPVki43VM,1
pSN2-yaMylc,1
V8vRUNlep_A,1
vRMR08JQmnw,1
eHUcTmtWRIQ,1
aHMYb0ADtOI,1
tGperdJHB4U,1
tn_Hyej6FkQ,1
qcLUOvaFLiA,1
1rqRBbhO5J0,1
u5xPqKUy-eE,24
GgDz9JxJmOc,24
D88XUUhh2rI,24
DDNdIzSoP4o,22
TbCtIWEXZBA,24
Di71VCbdphs,24
aj4u4pqF1qA,24
JLNpFmk6PZ8,24
8KZCsnoXpkE,24
9-VvaByz81A,24
j3ogLVpMNX0,24
EuHt-XEH1xc,24
5zdBKZYQUI0,24
EggPZA1LSnw,24
ZjosKlvMMMA,24
9umSJO-gJ-s,24
YY-GDIEoeSk,24
QJYxeb0eFhg,24
v3cNQT7hxH4,24
Z_G6gTiwXQ0,24
YPjCodP_iLI,24
A6cQNAPRYaA,24
F5c57aJs8pA,24
SzyAFtExKUo,24
LdLz7cJgzlY,24
RUqfZdDZGlM,24
hd0t95qZURU,24
4DWw5XsjG9M,24
SDrkQHmaZJc,24
I8TkjSjQ_Cg,24
dRqP_6GwCgo,24
4sPg7qOIelc,22
8lLLv1otuiQ,24
9VXiSE6-UXM,24
WVZtaoECtkw,24
p0NA8P2JqUw,24
nzYB-sMIhPI,24
tL2N6iLVn7o,24
i8Z8A2ga5gE,24
d6BOOwtMhNc,24
SbF0OKL6jag,24
cDvn-n0Res4,24
YZeQAD2VRrw,24
1NE1NO4m_fY,24
nT3rDTDDALk,22
7dB_cXZ9gTI,24
-AsbQjoMJlk,24
i2txciBwVFM,24
3yOAud2oO84,24
u1NthhQj8jE,24
95ybNlZwNBk,24
jZ-NAgqACXQ,24
oN7GGg04_dA,24
F4G15aeeAuA,24
54CoFvbBiXM,24
ntPT4qxI3Tg,24
gIX1zWqEi5k,24
wJIV-Bwy4OI,24
oSU7-WsuRII,24
ag71CKMQcaI,24
k2NS6avVFtM,24
xcVjgHIezqQ,24
H_byNpG5euQ,24
gq5p-QtCF5o,24
Hz3AJ_5fbYE,24
R8saSCb31uc,24
bvtJngBaaCI,24
QemB8j5u34g,24
Gz3h3axwCxI,24
kdSHOdLqHBM,24
Ds6Y7Evw4vY,24
CmKKO-DGj80,24
qTHrnyzgPac,24
JKvl9ukE4Ak,24
5NLYgnT0XcM,24
Yldd4JxxRc4,24
5tFAd3InJ54,24
9lFh1S7gFWg,24
e7jAcw8hGLE,24
XkUSnI0vV3w,24
YXYaU-7YSNk,24
9Bf1mG-J1A8,24
OdjfYUvQ6zw,24
cyqFV5ob5Qw,24
ASQVIOiPHTY,24
X7Dw06hWh8Y,24
M3dI0rcIgeI,24
IEQCtTo4LO4,24
vBoYh-QE5Xc,24
L6OySOKeiLA,24
cT6S5cQGL68,24
UjH3oT1RPjc,24
QVpPxxrRcek,24
kRM1ORY93fU,24
neUGZVtKHSg,24
R6GYCUO5AJY,24
1Se4VqMlNZc,24
31S5W55Mmas,24
PPzu1yLeP-Y,24
Q1VSh5Hws9A,1
X-mxAgQ4YMc,1
OrPGPrLCfPU,1
DCD4gxprjwg,1
0MJ-BXpKfQ4,1
-682L78W5-o,1
wt-nI74Xt0Q,1
3CVSJNgotHE,1
tmThXo32ySI,1
SBJQEYWgF_k,1
0pjSpA2Hxbo,1
-MwUTpsbJSQ,1
cxcr5z2dqxw,1
Z4nBOkWGcfk,1
0J6nWdYIBTw,1
bHJMpSttU-0,27
MeWOjiO3BRw,27
Y-vIOwGcIhg,27
fTMwsi4LThw,1
Od4_AlYz4Vw,27
oVEJ1og6QkE,1
lkIKvVp07qM,27
PlTgvJzi8MM,1
oYkeZBVfWEE,27
1bO2kJ2jLII,27
PeHOWUVF1Is,1
b3VEsgjr1xw,27
MKrlhq97JSY,27
OG6mLP6J5Eo,27
xBGFLOoWovI,27
cpP3GPffGbA,27
mdZ4QPrIhHw,1
i8VmaMBu1QI,27
KLHw9FWWpXg,27
TZOcqwyKGRU,27
AzS2eWArzPo,27
wEdSnp1gZTI,1
rShmPVesPpo,1
1uIguD3zzGY,1
8C_ZRzI0KcQ,1
H2PNOs2sMkY,27
4_eupDjO88E,27
yoXA7kyT4n0,27
umINTNOiqpo,1
1-YyCUfaLI4,1
t5AvNpfEu-Y,1
5j4WZKI2geg,1
XCP5wTMVyH8,27
WVVoxl_5Y1g,1
g84wA5jwxA8,1
D5CHt9YpPVM,22
oUpDGagTzzo,22
Y7-W5E8gCiA,22
U3EeMXBfdow,22
2qn-hAc2Jyw,22
-g9NFpo3uww,24
jOnGjR_kSjo,22
c0tsrsBBMTc,22
3FzOWHrTFc0,22
11FBp6bXWos,22
_JMyWlPdJo0,22
Hfq8ER3moRo,22
voKjdX-9D3I,22
OuOLbOp2PHE,22
0o5hfSLLVPw,22
lcdcgHHcgRw,22
WIjU44h1dBg,1
SDfWxZFGtik,22
CFb_Ja4TYLM,22
q_UVpFfAd0w,22
QW5fkRWNSpI,22
-jxYdD41tYM,22
ZpD1WmB0iBs,22
DiUdYoW34DE,22
kZyvT24GvsU,22
88vsNcdLpPA,22
w1KTvFT7bWQ,22
0RsYPJvB9VU,22
GjwFCHiZs20,22
M7XIRrsJO_4,22
h65i0vfBa7A,22
2ipTSCa0nwQ,22
rIIVKuPkHFc,22
pz3lfQlf-wY,22
T-SOaRs5XGI,22
coqsKhFnv78,22
zlHeErRajwk,22
TFrZtnPJEUA,22
4cZw8gCp4H4,22
L8DhTS4J_IQ,22
M0ZLPLNNtxc,22
6H8jY4fAPs8,22
yXVRbQHvynI,22
h-MLvqJUDBU,22
wfiqQwl6NLE,22
7mxL2K30DIk,22
o-OmaTi4UI4,22
y0KOzj6j64o,22
yY9k_3USG0Y,22
puhLAKBXkEg,22
Xcu5dLOYdtw,22
Cakv7fp8Q3Q,22
xFAF9WLxnL4,22
i2U5A2uNbas,22
RJJ-PDIomqQ,22
J0cRB4Fb7W8,22
gidf1kNTKpo,22
BoxMXLWhfzc,22
6qGiDkH_B_k,22
M4eTTh71qkU,22
546zvV8-_Iw,22
-akoehnKdUA,22
AMe_6Svxeko,22
GKrfVnRaKf4,22
QUt8aPjHToo,22
Bd2CKXuTHvo,22
ZK_yxctbjlA,22
QiIlu7WBfZU,22
8kUlKOzkJ44,22
59YvfM6Yzpg,22
wJRVjPG4T2c,22
aXrsJBLX5kA,22
d_Fcrcjsn_U,22
XpjmgWWCwvY,22
B18IjuhrO0w,22
giCDW8q2YMQ,22
cP1RkysZH1A,22
a5qt6TZvd_Q,22
0WEzcrRnb90,22
HLfQwRHVPaE,22
2C6vsB6lSlw,22
xKsdfQgH85U,22
3f6IEm3mZto,22
HALCSI5aEQw,22
2g-q2xQRvu4,22
Ng_U9ZNxJ6o,22
SKPO-HX5yHA,22
yofDX03NtHQ,22
snIZ5ivILt4,22
YDFK-aXkiV0,22
UhEweCMFCO8,22
mqzjnsmC6SE,22
TRzdkRgA6Tw,22
bUZK3acZWJQ,22
FzLiKtDrfao,22
da4HC1oF1gs,22
qmsIIG3J104,22
1-O2pUg9Wn0,1
2nb_myZxQ80,27
1qYa9Zrjwd0,27
7DXLvQlU5i4,1
OVJKBpJ6jVA,27
LOrKHUr0b20,27
uuTRjQD5CkI,1
tJq9d6GqSDc,1
D4-NxcuTBkM,1
_viUCCEYtuc,1
RN0TjwExbaI,27
gtHnptK151I,1
XscLqmNzbp0,27
8PRttXpZQnw,27
0iAZSDDE_Aw,27
EQIjNvYh5AU,27
DGvPdYRKw1Y,27
XTKqRAMfOxY,27
9R-WMx5XyUk,27
PryfaVaVWOw,1
RvYKdDJWHXU,1
tPSTw_6U9jo,1
cb-_K3RgDHc,1
6es-Zif86Uc,1
FAWcu8PCsQA,27
hKtNeVG2TOQ,1
JzEJla6JabY,1
q0nr6H65mJ0,27
sORQmmaVyOw,27
V5gKOqzis2w,27
rfpXQ_Ajn2Y,27
BGH80y48R9o,1
J13VEv6EJwM,27
RuIbKvKX4-A,27
uTy-oxu6OgI,1
jhuc_3xa3Pg,1
i3bR6AJCNHs,27
xlXScLbE2H8,27
X93IJf0ud4g,1
2HkiS4X32uo,27
5iQ8nHkje7s,1
nuvKty4MuRw,1
q2ry1a30oKM,27
ntlB_qOUB20,27
CAQnTHu8aVk,1
HWtJp-sWRZ4,27
Mgz6eHj-5Wc,27
3hJb088t2Qo,27
koc0fYQgt1Y,27
4Q6Wih7p-Ss,27
3iZKfvbAOKI,28
xR_qIXlnW0s,28
mOkNzP589q4,28
r1I3M7xuix4,28
Rf1jelJ741Q,28
QhhmxJsZzQU,28
i3VCDlWafVQ,28
7gBFyN2kJ2c,28
jqQPlEaEy88,28
sJo9601jtAE,28
azTcxpqSzNs,28
Y_he_T26khs,28
QubCLROemjg,28
856RiRGe39k,28
dkgsnQ-92Os,28
BwCMLcdF6kU,28
oFplSxJBi8s,28
pBRgoXexxuc,28
QrKO6VdFMjE,28
i6d9MkOSdew,28
_FR_nGcS59Y,28
96dkp03Zuts,28
kJ6A5TqGnU4,28
AXsT10Y1y44,28
b9-z5081VJk,28
f9iS2ao74SQ,28
jz8auphMgzU,28
VcW7hy_tUoE,28
zLzxg93fmz4,28
QS6rCh-lfH0,28
7ToOuPraMEI,28
hn52PaNyX0Q,28
ZC-baktffc8,28
_8rp1p_tWlc,28
6KrN7u0rm9Y,28
YTLZzCW_y84,28
19PcMB-VweQ,28
NEDE0SozSNU,28
GL2Wxf-ws3c,28
8t0MO30SXfA,28
e2DxZ8fplXU,28
V3jozf7c83w,28
Dz0pwzT8TtY,28
zG0o1Id0Lb8,28
U_z7J97HPJc,28
OO5n2lHuDvM,28
Vvghjfq_qKE,28
RfU60PsPHoI,28
-oiMect0ly0,24
1dHHYpGQ2JA,24
-N5B-vazYEM,24
YgOtQw0wfcI,24
O-5nHr9jQpg,24
LOH-2sNXjHw,24
ZE8l1l09JpQ,24
T2zmY4F33Xg,24
KGdLJFNC3zY,24
KAVWZNnveoU,24
riRe8JJv5R8,24
c2WXn9--mtw,24
P-2w1KTLuLg,24
Sa6Y6ImcnRA,24
LpMNnIaHz1k,24
nuTo5VZgdXM,24
9KG8sUtx84I,24
tN6N_Fr5O38,24
aPTSOttMQu8,24
64yDw8xIIZg,24
gtCWNSbdrcE,24
05AZVl_WLFA,24
w_kbmk-_dF4,24
FGVI3nzVXMc,24
0Wdq_pYq9Vw,1
ozgrAt2tZGQ,24
wmU0iLj9XvA,24
DVvE8a0j4wY,24
CHpnUHlABOo,24
2zVDzY-Hj9k,24
VOiGe2pMfjs,24
yWdAEq7Ax-U,24
-PgG-vt4GgY,24
HFBlneUAgDM,24
BtLlZGByFOU,24
cAWKt6wLiBo,24
XhkorLKjw2U,24
CJndHecxYQ0,24
lsIdyWgsEiQ,24
qVvz87MEpQk,24
kxD978REwek,24
BeCecmRBTZw,24
-NLgR5-JkgY,24
onCTZJ2QWC0,24
DF_56LSMmkc,24
hM9U0xbLmw8,24
BEAy0fl1HKI,24
ndeL_KO51E4,24
59jbWaQxN9o,24
1IuMHFU_Yzw,22
NPk0LtraaaI,22
e3-h6ZK1H7k,22
jxqEfUfBhOI,22
6lwy33j3OIQ,24
eUgiSf9zhco,22
mcNYgN0zyko,22
lWIp0o0OeGs,22
8xtj4BkH4cU,22
wJkYTHjUH2Y,22
NTMrPuPdth4,22
e2iYqTn8Ryw,22
_QWJyMSo_Z4,22
gvzOYjWlNiM,22
cb2JARAIXC8,22
hOPWKYG9LRE,22
Qws-fRFkvdM,22
BNqRi1B0zf8,22
Ry2BYrUKGI8,22
jvWcUZAOZ00,22
kfgCgHhsOZk,22
w278sXE4PhE,22
MzyOGa_UwE0,22
mt8Y3wVC55k,22
gbYlgcoMCfc,22
i1tx5EJYYwg,22
IDoXr8dCxt8,22
1XK0BRyeEIs,22
sGcVO_kaR0k,22
vV23rjcIgds,22
eInWukbhQAE,22
C2fO6LKtmgs,22
nJZWillu_8w,22
LwhJDfjCP8g,22
j4Wyv-JT6sY,22
elJfEQ3EUUo,22
Y2i5SuU_ei8,22
Zv_JYw_Q0Ow,22
bxbXB3R_aM0,22
XAr_a26uFLU,22
9ArMg1hPte0,22
h5aItWwwizs,22
TEKtVcZnEjA,22
u4z9ZAYw0kY,22
S4NtOZAT1Qk,22
i1vO_M4WOZI,22
aKBd4I4wg6w,22
9t9P1XwnWVw,22
fFizBJQ23I4,22
cqGKa-tGgsc,1
lsXw8e0xGIc,1
nHnrmxBS7O8,1
YNDlcqmGRRc,1
V5pE3JNWQcM,1
1a3VtAi3TSw,1
gR06S3NaV0k,24
O27Hj8AX2qw,1
p7IPi2ful3g,1
Bnn7x0AblEg,1
H9erBNTjgvI,24
Z-P3nCjAD7w,24
Taz6Tg0902A,1
K9IC92XV7rA,1
fnVmBA0CdEQ,1
fYHFunjCW-E,1
WGp06IdEDrw,1
uNDGIWhANCI,1
uzlpofY2Uy0,1
G1bNwgW_8N0,1
MpIG7p_DOOQ,1
_UGXsCfiR6Q,1
qcb2gGmmiXk,1
IGdvUL35JQM,1
MPgpzTU09hQ,1
92uDc7i5R7Q,1
lfYkyBwHAxs,1
sojCtO3dfQw,1
pUsWlbS4tpM,1
tx2OzMdgs_Q,1
wieifcLSq60,1
oYEmWAUkObI,1
jITq4t5w7og,1
G3XvQEIrpdM,1
l8k0skuXjCs,1
iCFiSncEVhc,1
kDMdnz4lllE,1
8Kc39x_EPu4,1
zGQIarAJAQM,1
17USsbUnGgY,1
eKooac8-si4,1
kteMZsri2Z8,1
Ox4zs3Bjbiw,1
xNr7wP_-S2E,1
Qk6qLUtPGGQ,1
DWvlDX7s-CY,1
-k5RryOfSrw,1
B_DXMj3-DB4,1
9CG-6YLGOIE,22
Ug0lCo-IWUQ,1
-2yE9JEo0Y4,22
W35UjzhPHqY,22
eonBp002ByU,1
dm3-0gEhXAw,22
gyzX37yI2zM,22
E-OQV3W-x_M,22
GE_bbBKnauY,22
WfjRbtpjr-A,1
Fqw9XmocsI8,22
oVWe4P7LWOM,22
v49ad4Fpjcw,22
sL5fqcAw52k,22
nkWufYITl_Y,1
IT4MkBRtyYI,22
Hfe7vIcCxyg,22
eg0wjqbYtyU,22
GUn2xD6FRdo,22
KUK9V3Y3s1o,1
mPlVHu9kUk0,22
IyP0zX731KM,22
1BKpTtgCsTQ,22
b2QtHfFSL44,22
LHtDiU8VjYw,1
bAN0g2iSqVA,22
YoJnDQp8mto,22
YY29wKXueo4,22
uXuEAzDFRxU,22
hObN1I8K7J0,22
KumC3kgYyHg,22
lfKehGF2moo,22
9gI4mQou3EE,22
I7uu-qg3Nic,22
if9g4mGmrnA,22
OpjkKi3K29w,22
TD6i9Uq_aL4,22
ch41Aui78ps,1
ZQVh_1-y1k4,22
73u47SW9STk,22
fBcqkJEalgQ,22
BSshkDOx-kg,22
HCgufbI5iQc,22
KiA7D3QN1Ls,22
Jo-oAi2POI0,22
YkOawwU2hYY,22
JmBo9UXALUQ,22
ukaR5BLvpeM,1
6o3mFRhtXAw,22
nBgIMDrzF5s,1
pUrvnadKFg0,24
2eQjKrGsalY,24
K_jbACN74PI,24
E5JLoPs98Zg,24
lhBT2L4SWeY,24
qIzYCo8FLs4,24
lCc1KcTZMn8,24
xFOR1l7vvRY,24
esph1v4ZSVI,24
7VASce8f4UU,24
HltTI443QOE,24
hHjFtyK578E,24
bCXiXk-8WjI,24
vSZl7OK6seM,24
5UADmzTKeVA,24
9RvNzTO4B1c,24
KmpaUYSaQfg,24
5VI5cFnkczY,24
53mE0BT7qzs,24
xBdFaePaf5c,24
DubHbTj7xe0,24
FIvQ7j30-1A,24
o1zoDpebABo,24
s9epXpcKYIg,24
yeNesQXfFcY,24
dpBwrMvRYqg,24
0TxdlUUUCVU,24
DlqGLLYeoOg,24
N6Cf9xuYITE,24
qy28dJH2hsk,24
5x_ojuGv5XA,24
datpLDm1714,24
6EODwHZpPk4,24
IrDNNMpUdUw,24
rfusme4H3zw,24
9mTOgofOoyA,24
RebxkcK8lm8,24
PsDwgcJyMZ8,24
6CRYgRQqXPE,24
La-RSqfy16Q,24
pfW8PhSBIIc,24
MGRfyirAo3M,24
aUC4h3V3yv4,24
SkjBkvM4vQs,24
jG3-oaA3YIc,24
8EUowrCiLx4,24
WpKk75wqCbQ,24
OWnqU6f7KbY,24
EXCO_fQpVrc,24
5WjEiv5XMXw,24
D3_WDfnbw1Q,24
MRw3npyoYM0,24
qBo8jSe8Yl4,24
zEKfgOVe4sQ,24
uQzcn9pK6lY,24
i60CZllvC2I,24
ry5sxbRJ6hk,24
fgCcFpIzSa8,24
FucuGfbYTxo,24
0QT1k4fy9uM,24
Irh2CxMjgtk,24
w9PfVZoGDcw,24
v6axBxLqCBY,24
44amfhk9ni4,24
mp5FS9mMpSw,24
9XQ7Z0dSHNk,24
yFQZTSEkBHg,24
HwoYcyALR1k,24
I9FbGJlcY48,24
zxW62bnSHIQ,24
5JyjyzMq3nc,24
A1xwBo8nUBo,24
ks7QiojuDH8,24
BknvJZcAsOE,24
xCnsMI5AeNU,24
Tyy3IsEBHaQ,24
qrEXHCcYS5o,24
rbCpHOxOU1s,24
Lh6q3AzlhMI,24
PK1UOW1PXQQ,24
1oA2NlUaQFo,24
GcpVO9wc8js,24
2BDZlKeuFq0,24
ilMghcp_Dts,24
PeFZrFAJfEk,22
9qyiUg2Gkbk,24
S43pYbxp0Gw,24
AzzNfkcJkjU,22
mFTXKwX11jM,24
edjVzEwDuVE,22
93skX_ClXGU,24
WnVwxoAbgqs,24
dIxSRVaPYWM,24
iUk4B-WIxnc,24
7YcdPXgV-bI,24
Vl2AUl1-sK4,1
TY4zUCn4oHs,1
UqO06WG_jNI,1
X6R9c9dyAuM,1
1cI5amicsJ4,1
YreDI5ayVGo,1
g2lI-aAYnVQ,1
JsE5BcKkSzM,1
jeJkfHi7G-s,1
0OScwpdVIOk,1
kHwN-3DR2Ps,1
fDsl0qrtC6g,1
RZ6LObsXAkU,1
U9rkFoXLXbU,1
pr3WS916PU4,1
qucvBwuzIrE,1
XxMnx9YqXh4,1
t8ltu7OGKgI,1
6O6IK0jO0PI,1
-D2U8nqgLwo,1
XkXc_mzzz_Q,1
YIy_oHvkMdA,1
vIDrGgxKx_0,1
4AH1EsFGqBM,1
q4a0j-1llIY,1
yx7iafHlyCk,1
kPD8w8mBEVg,1
8HYzOOBNlo4,1
Kiuw2ymM4EY,1
hgb1k8AaI3E,1
lKSE5T3-QVk,1
SQoF-S_CNS8,1
pRzdKE3l1U4,1
-LzQN_u2IyM,1
H4vGCXWym4A,1
bB5eqhoGAts,1
_uQG7QFUFD0,1
iPj4ZhLK8yY,1
sqHhwa3Bewg,1
ytDXesUcLw4,1
ZGPtt3e30VY,1
imYGhpYoTPo,1
5oPpFkFWD5I,1
_P7m7-A-PyA,1
pK0zEyQ4iT0,1
fZG5L-E1QIM,1
hT0OxctL4ko,1
3TkbKOms4j8,1
ujw2UkdRv2I,22
fzrU8t5nZ2o,22
jWooh7rE950,22
Ht1nXKpgj8E,22
4Z3Mx9rXGjc,22
3NL_ecz1nOc,22
ZKpIORtuI6I,22
QGVHw_haHy4,22
ZQ5pEJjJfSg,22
FyvCRs0eZUw,22
0pufkmUu6-8,22
VnPPItMwSr4,22
KbUnW3hNpd4,22
tFEn4oeE2_E,22
NIrNdI5qe7s,22
ubljTg_7kOY,22
B_ro0aOBqTI,22
kbChnaARFt8,22
1F-V9XYj5gw,22
Ia5fdV5Acbk,22
zs2x_dt8eXo,22
ho-6HBr9Yeg,22
2K1vWOa1ESE,22
PF8dJTujk-E,22
v8w-dgGlZC0,22
Lm4QXqQcEVI,22
HtR9fTM3QBs,22
kBhmUtg6YB4,22
H55Tjq0G7CU,22
JxJ8_N8OmKM,22
9EUXlvItBfs,22
4gaONS4-meM,1
kPeRvPvgiMg,1
JdHyEACsqx0,1
vv9iITzEkfw,1
2thMCG0Izko,1
RB0pw0U-h88,1
nvBiNgm67XE,1
6ryIyGgK3JA,1
pCJ73uSn_F8,1
tnjQrQGFWEw,1
0MwIA3ZDOjI,1
DN4PEXTeioQ,1
L0KG_CoJG5E,1
fAefUCLjlDI,1
NKlLFJEFkVE,1
oX8CYX_gYsg,1
g2hUF4TzbCA,1
fBTV-1Hpbn8,1
s4Hz0MuN-4k,1
H6evihqFGcA,1
aVWuGcphgLE,1
4f_l2TNpia4,1
38QaX3OxdSM,1
ozWdlqPuzvU,1
OaxrvMMOXeo,1
2L3HCZjm0Gk,1
V3OPmFrOMs0,1
7Wu8wjdTnsA,1
btlKxl2HjA4,1
wmfITFXnym8,1
11VIejKMKRc,1
9jIod02WZM0,1
7q8d8x3MklQ,1
UM7ru6VuBV0,1
vKH7H4n_x7c,1
SN6WSRqtUxM,1
QasASOgp4GY,1
98VNpQRzxyA,1
xE5CL1aTyDg,1
dg69hGECBO8,1
GOhZQzgfmPE,1
f6VUHqoJdrk,1
ZfK-fXDXol8,1
qu2NQkZm0fM,1
oi8vkhBBN0E,1
8eKhM6CBrnU,1
mmnLyyA-Vus,1
7TgQl5LyH9A,1
kKUgdW7Lm24,1
PtB2RlgUiq4,1
5kTo4ckVWUY,1
l2HkpZCgREE,1
9_0hJfmhT8s,1
AefSNuXIfr0,1
yMEkeGQy3Jw,1
Yjc4TrddP9k,1
1FUncU9j4XY,1
lghuzQBFxIQ,1
q4zp6kDKci0,1
hT280oZHlAM,1
Ax5H_dZ4-Wo,1
PJksu3iOI9I,1
96Wf2UdeTeY,1
d9no4qKdWVE,1
Xu95cUcQje4,1
WKj1bnMYthg,1
o2wxsn48cho,1
na_6oGObqGw,1
XrClX_rb-wI,1
llfJjpljBLY,1
VQ41z3c_PEw,1
JUgsZNVWZPo,1
OAhm1CrQles,1
gE0f_N4nkPU,1
oyvJgdspmWo,1
l7sXPaoYkYM,1
Ohku3rK4KbM,1
JS6YCPziCoA,1
Nva7Dwlyx6Y,1
Hoo3MJ_wPhM,1
MeAMIwM1RRk,1
L6_8yV99eis,1
KiakhrtIjBs,1
GDfdIwuYiD8,1
lcn6EpyHC2I,1
0F-2ysGb3-8,1
JU41b1146hw,1
CIGm7c2m5Lc,1
O8mbFnwUBYE,1
l_ubyfUGKeg,1
q_qyxe0-N94,1
oFVcXXg1MWg,1
xSFPoUeMoGI,1
A6yukiWTPZE,1
vuzv8cVe-qg,1
